Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,11925.15918,16180,16180,16000,16060,11950800
2010-01-05,12116.78711,16440,16580,16300,16520,27925850
2010-01-06,12396.85742,16820,16820,16520,16580,22948850
2010-01-07,11984.12012,16260,16820,16260,16820,22107950
2010-01-08,12102.04785,16420,16420,16120,16400,14777550
2010-01-11,11748.27344,15940,16460,15940,16420,19896100
2010-01-12,11925.15918,16180,16180,15900,15940,19218050
2010-01-13,11748.27344,15940,16120,15940,16100,13375300
2010-01-14,12190.49023,16540,16620,16000,16120,26551550
2010-01-15,12411.60059,16840,16860,16580,16640,19905600
2010-01-18,12426.34082,16860,16920,16560,16800,13060400
2010-01-19,12131.53027,16460,17000,16440,17000,12041250
2010-01-20,12293.67383,16680,16740,16460,16460,19200850
2010-01-21,12529.52148,17000,17000,16400,16400,16990100
2010-01-22,12161.00879,16500,16900,16360,16800,23460500
2010-01-25,12411.60059,16840,16960,16300,16320,20578400
2010-01-26,12013.60449,16300,16920,16240,16920,18722300
2010-01-27,11792.49316,16000,16340,16000,16300,18516150
2010-01-28,11910.41797,16160,16300,16060,16160,13795800
2010-01-29,11556.64453,15680,16020,15600,16000,22854100
2010-02-01,11453.46094,15540,15700,15300,15680,25037200
2010-02-02,11379.75586,15440,15800,15400,15800,19677150
2010-02-03,11453.46094,15540,15700,15360,15640,16467700
2010-02-04,11438.7168,15520,15660,15440,15500,11971700
2010-02-05,11055.46289,15000,15220,14940,15160,25705750
2010-02-08,11025.98145,14960,15080,14820,14940,21891500
2010-02-09,11217.60938,15220,15220,14840,14960,16834200
2010-02-10,11129.16602,15100,15280,15040,15260,13174200
2010-02-11,11247.09082,15260,15300,15120,15140,13208300
2010-02-12,11055.46289,15000,15340,14900,15340,22879300
2010-02-16,11143.9082,15120,15180,14960,15000,7723550
2010-02-17,11482.94043,15580,15580,15280,15440,13997150
2010-02-18,11423.97949,15500,15620,15440,15580,7251900
2010-02-19,11202.87012,15200,15540,15180,15380,11094000
2010-02-22,11394.5,15460,15560,15400,15440,11580550
2010-02-23,11306.05176,15340,15480,15120,15480,12568850
2010-02-24,11084.94531,15040,15220,15000,15180,15052500
2010-02-25,10849.09473,14720,15160,14680,15080,19273900
2010-02-26,10967.02148,14880,14960,14660,14800,15576350
